month,town,flat_type,floor_area_sqm,remaining_lease,resale_price,latitude,longitude,storey_type_lower,storey_type_middle,storey_type_upper,rpi,adjusted_resale,mrt_count,school_count,mall_count,bus_stop_count,hawker_count,wet_market_count
0,ANG MO KIO,3 ROOM,67,732,325000,1.36830996981351,103.853600305664,False,False,True,133.9,242718.44660194175,1,3,0,14,2,2
0,ANG MO KIO,3 ROOM,67,711,325000,1.369196965617,103.841666636086,True,False,False,133.9,242718.44660194175,1,2,0,9,1,1
0,ANG MO KIO,3 ROOM,67,737,328000,1.37071307985916,103.853497803014,False,True,False,133.9,244958.92457057507,1,2,0,17,2,2
0,ANG MO KIO,3 ROOM,74,724,330000,1.37329593649654,103.835475719134,False,False,True,133.9,246452.57654966394,1,1,0,12,0,0
0,ANG MO KIO,3 ROOM,68,756,330000,1.3613425564061,103.851698621454,False,False,True,133.9,246452.57654966394,0,3,0,13,1,1
0,ANG MO KIO,3 ROOM,73,714,335000,1.37061517595951,103.83596769452,False,False,True,133.9,250186.70649738613,1,3,0,15,0,0
0,ANG MO KIO,3 ROOM,68,756,338000,1.36243186402478,103.851030689651,False,False,True,133.9,252427.18446601942,0,3,0,10,1,1
0,ANG MO KIO,3 ROOM,82,744,366000,1.3716257020332,103.857736107527,False,False,True,133.9,273338.31217326364,0,1,0,14,3,3
0,ANG MO KIO,3 ROOM,73,723,373000,1.36708983179046,103.845660199054,False,False,True,133.9,278566.09410007467,1,1,1,12,0,0
0,ANG MO KIO,3 ROOM,82,744,375000,1.37138855070768,103.855953346739,False,False,True,133.9,280059.74607916357,0,2,0,16,2,2
0,ANG MO KIO,3 ROOM,81,749,390000,1.37400086510074,103.850139806283,True,False,False,133.9,291262.1359223301,1,3,1,13,0,0
0,ANG MO KIO,4 ROOM,92,738,400000,1.36314392666998,103.858118593427,False,False,True,133.9,298730.39581777446,0,1,0,7,1,1
0,ANG MO KIO,4 ROOM,91,738,400000,1.36266297827625,103.85651592319,False,False,True,133.9,298730.39581777446,0,3,0,13,1,1
0,ANG MO KIO,4 ROOM,94,765,403000,1.380104749906,103.840408652998,True,False,False,133.9,300970.87378640776,0,2,0,18,0,0
0,ANG MO KIO,4 ROOM,92,756,410000,1.37365123866689,103.857022220393,True,False,False,133.9,306198.65571321885,0,2,0,12,1,1
0,ANG MO KIO,4 ROOM,98,733,425888,1.37101536386003,103.841800323712,True,False,False,133.9,318064.2270351008,0,2,2,8,1,1
0,ANG MO KIO,4 ROOM,97,714,430000,1.37020344042146,103.834687722549,False,True,False,133.9,321135.17550410755,1,2,0,13,0,0
0,ANG MO KIO,4 ROOM,92,742,435000,1.36408620030202,103.856692408941,False,True,False,133.9,324869.30545182974,0,1,0,9,2,2
0,ANG MO KIO,4 ROOM,91,749,435000,1.38104134784496,103.835131744823,False,True,False,133.9,324869.30545182974,1,0,0,11,0,0
0,ANG MO KIO,4 ROOM,92,745,440000,1.36694793518613,103.857487648675,False,True,False,133.9,328603.43539955193,0,1,0,10,1,1
0,ANG MO KIO,4 ROOM,97,702,460000,1.36582089504381,103.842847772078,False,True,False,133.9,343539.95519044064,1,2,0,10,1,1
0,ANG MO KIO,4 ROOM,97,712,518000,1.36628642816469,103.8449947612,False,False,True,133.9,386855.8625840179,1,1,0,12,0,0
0,ANG MO KIO,4 ROOM,99,755,518000,1.37939517687868,103.843763599411,False,False,True,133.9,386855.8625840179,1,3,0,20,0,0
0,ANG MO KIO,4 ROOM,98,728,560000,1.36661793708764,103.84786688518,False,False,True,133.9,418222.5541448842,2,2,1,14,0,0
0,ANG MO KIO,4 ROOM,90,1124,688000,1.37183157010083,103.853670978083,False,False,True,133.9,513816.28080657206,0,2,0,20,1,1
0,ANG MO KIO,4 ROOM,91,1123,730000,1.37175400663025,103.8538833087,False,False,True,133.9,545182.9723674384,0,2,0,21,2,2
0,ANG MO KIO,4 ROOM,91,1123,756000,1.37175400663025,103.8538833087,False,False,True,133.9,564600.4480955937,0,2,0,21,2,2
0,ANG MO KIO,5 ROOM,117,721,500000,1.37026158388486,103.839467898898,True,False,False,133.9,373412.9947722181,1,3,0,10,1,1
0,ANG MO KIO,5 ROOM,119,732,668000,1.36899287777802,103.85276134968,False,False,True,133.9,498879.76101568335,1,3,1,14,2,2
0,ANG MO KIO,5 ROOM,118,752,668000,1.3734054063175,103.851134219635,False,False,True,133.9,498879.76101568335,1,3,1,19,1,1
0,ANG MO KIO,5 ROOM,119,749,725000,1.37147783065153,103.845868750998,False,False,True,133.9,541448.8424197162,1,1,4,14,0,0
0,ANG MO KIO,5 ROOM,112,1123,770000,1.37207688864036,103.852786139342,False,False,True,133.9,575056.0119492159,1,2,0,19,1,1
0,ANG MO KIO,5 ROOM,121,1136,832000,1.36481255187585,103.843844243986,False,False,True,133.9,621359.2233009709,1,2,0,10,0,0
0,ANG MO KIO,EXECUTIVE,147,940,888000,1.37845661566039,103.839292714848,False,False,True,133.9,663181.4787154594,0,2,0,17,0,0
0,BEDOK,2 ROOM,45,726,238000,1.334484667124,103.937924710969,False,True,False,133.9,177744.5855115758,0,4,0,10,0,0
0,BEDOK,3 ROOM,68,750,272000,1.33131021834565,103.92685391703,False,True,False,133.9,203136.66915608663,0,0,0,20,2,2
0,BEDOK,3 ROOM,59,720,278000,1.32791477933184,103.942144427101,False,False,True,133.9,207617.62509335324,1,2,0,10,0,0
0,BEDOK,3 ROOM,68,749,280000,1.3326931795279,103.926617402908,True,False,False,133.9,209111.2770724421,0,0,0,16,2,2
0,BEDOK,3 ROOM,59,696,280000,1.32085208689731,103.933721091441,True,False,False,133.9,209111.2770724421,0,0,0,10,0,0
0,BEDOK,3 ROOM,63,848,281000,1.33557619454702,103.911545779692,False,True,False,133.9,209858.10306198656,1,0,0,18,0,0
0,BEDOK,3 ROOM,68,760,285000,1.32947840879761,103.921105111921,False,True,False,133.9,212845.4070201643,0,0,0,10,0,0
0,BEDOK,3 ROOM,68,762,285000,1.32930431416537,103.922415807329,False,True,False,133.9,212845.4070201643,0,0,0,13,1,1
0,BEDOK,3 ROOM,70,811,287000,1.32914437941094,103.909112780576,False,False,True,133.9,214339.05899925317,0,1,0,10,0,0
0,BEDOK,3 ROOM,68,739,290000,1.33490287587397,103.927838167286,False,False,True,133.9,216579.5369678865,0,1,0,14,2,2
0,BEDOK,3 ROOM,60,818,290000,1.33303698213001,103.924812248346,False,False,True,133.9,216579.5369678865,0,1,0,12,1,1
0,BEDOK,3 ROOM,68,750,293000,1.3326931795279,103.926617402908,False,True,False,133.9,218820.0149365198,0,0,0,16,2,2
0,BEDOK,3 ROOM,60,819,300000,1.32869611162886,103.941995599533,False,False,True,133.9,224047.79686333085,0,2,0,9,0,0
0,BEDOK,3 ROOM,67,818,300000,1.33103784588692,103.908641634756,False,False,True,133.9,224047.79686333085,1,1,0,11,0,0
0,BEDOK,3 ROOM,65,696,300000,1.32062504871279,103.934734222428,False,False,True,133.9,224047.79686333085,0,0,0,12,0,0
0,BEDOK,3 ROOM,65,672,300000,1.32604335303082,103.926488452026,False,False,True,133.9,224047.79686333085,1,0,2,20,1,1
0,BEDOK,3 ROOM,60,813,300000,1.32424554153984,103.941568704132,False,False,True,133.9,224047.79686333085,0,2,0,12,0,0
0,BEDOK,3 ROOM,60,813,301888,1.32424554153984,103.941568704132,False,False,True,133.9,225457.80433159074,0,2,0,12,0,0
0,BEDOK,3 ROOM,67,716,305000,1.33368859457924,103.936473903592,False,True,False,133.9,227781.92681105304,0,3,0,10,0,0
0,BEDOK,3 ROOM,68,762,310000,1.33541606639526,103.922350069667,False,False,True,133.9,231516.0567587752,1,2,0,10,1,1
0,BEDOK,3 ROOM,67,809,310000,1.32797877350561,103.925804792632,True,False,False,133.9,231516.0567587752,0,0,1,15,1,1
0,BEDOK,3 ROOM,68,763,310000,1.33541606639526,103.922350069667,False,False,True,133.9,231516.0567587752,1,2,0,10,1,1
0,BEDOK,3 ROOM,75,795,310000,1.32684846948333,103.919015573079,False,True,False,133.9,231516.0567587752,0,1,0,9,0,0
0,BEDOK,3 ROOM,70,721,312000,1.32791477933184,103.942144427101,False,False,True,133.9,233009.70873786407,1,2,0,10,0,0
0,BEDOK,3 ROOM,65,696,312000,1.32130118793544,103.933299574181,False,False,True,133.9,233009.70873786407,1,0,0,9,1,1
0,BEDOK,3 ROOM,66,784,312000,1.32544200357037,103.926207634232,False,True,False,133.9,233009.70873786407,1,0,2,15,1,1
0,BEDOK,3 ROOM,68,762,313000,1.33541606639526,103.922350069667,False,False,True,133.9,233756.53472740852,1,2,0,10,1,1
0,BEDOK,3 ROOM,67,732,332000,1.32936960154503,103.929067536324,False,False,True,133.9,247946.2285287528,0,1,1,21,1,1
0,BEDOK,3 ROOM,73,724,336000,1.33065454769523,103.938496275607,False,True,False,133.9,250933.53248693055,0,1,0,13,0,0
0,BEDOK,3 ROOM,82,732,358000,1.32797614118511,103.927565110763,False,False,True,133.9,267363.70425690815,0,0,2,19,1,1
0,BEDOK,3 ROOM,82,809,360000,1.32797877350561,103.925804792632,True,False,False,133.9,268857.356235997,0,0,1,15,1,1
0,BEDOK,3 ROOM,82,744,365000,1.33358016248275,103.92421866691,False,True,False,133.9,272591.4861837192,0,2,0,10,1,1
0,BEDOK,4 ROOM,84,833,350000,1.33576929801793,103.912779600202,False,True,False,133.9,261389.09634055267,1,0,0,16,0,0
0,BEDOK,4 ROOM,90,719,350000,1.32233220742919,103.939766219283,False,False,True,133.9,261389.09634055267,0,1,0,13,0,0
0,BEDOK,4 ROOM,84,716,350000,1.32147847826862,103.940721046918,False,True,False,133.9,261389.09634055267,0,2,0,13,0,0
0,BEDOK,4 ROOM,90,716,358000,1.32205652925918,103.93835472666,False,False,True,133.9,267363.70425690815,0,1,0,11,0,0
0,BEDOK,4 ROOM,82,696,358000,1.32281544267372,103.93545524391,False,True,False,133.9,267363.70425690815,0,1,0,10,0,0
0,BEDOK,4 ROOM,82,696,375000,1.32284176978435,103.936046815062,False,False,True,133.9,280059.74607916357,0,1,0,12,0,0
0,BEDOK,4 ROOM,91,725,380000,1.32848132017235,103.940611608837,True,False,False,133.9,283793.87602688576,0,1,0,10,0,0
0,BEDOK,4 ROOM,91,727,382000,1.32726007220341,103.940848770214,False,True,False,133.9,285287.5280059746,0,3,0,8,0,0
0,BEDOK,4 ROOM,84,830,384000,1.33314106418951,103.912523538101,False,False,True,133.9,286781.1799850635,0,1,0,12,0,0
0,BEDOK,4 ROOM,84,831,385000,1.33534088461813,103.91190498709,False,False,True,133.9,287528.00597460795,1,1,0,18,0,0
0,BEDOK,4 ROOM,91,725,390000,1.32891558225172,103.940528728774,True,False,False,133.9,291262.1359223301,0,1,0,10,0,0
0,BEDOK,4 ROOM,84,826,392000,1.33563649761465,103.913269358016,False,False,True,133.9,292755.787901419,0,0,0,15,0,0
0,BEDOK,4 ROOM,84,826,395000,1.33563649761465,103.913269358016,False,False,True,133.9,294996.2658700523,0,0,0,15,0,0
0,BEDOK,4 ROOM,92,724,395000,1.32925881944574,103.939046430321,False,False,True,133.9,294996.2658700523,0,1,0,12,0,0
0,BEDOK,4 ROOM,91,754,410000,1.33663681806047,103.918995255673,True,False,False,133.9,306198.65571321885,1,2,0,9,1,1
0,BEDOK,4 ROOM,93,749,412000,1.33262715051315,103.928172121608,False,True,False,133.9,307692.3076923077,0,0,0,16,2,2
0,BEDOK,4 ROOM,98,772,420000,1.32934898685946,103.911583237057,False,False,True,133.9,313666.91560866317,0,2,0,8,0,0
0,BEDOK,4 ROOM,91,725,425000,1.32891558225172,103.940528728774,False,False,True,133.9,317401.04555638536,0,1,0,10,0,0
0,BEDOK,4 ROOM,92,730,430000,1.33340012199511,103.932519441614,False,False,True,133.9,321135.17550410755,1,4,0,16,1,1
0,BEDOK,4 ROOM,104,793,430000,1.33597277354753,103.924883020541,False,True,False,133.9,321135.17550410755,0,2,0,9,2,2
