stop_name,stop_code,type,lat,long
After Chuan Garden (66129),66129,Bus Stop,1.3614401,103.8680984
After Chun Tin Road (42179),42179,Bus Stop,1.341982,103.770991
After Church Of Our Saviour (11159),11159,Bus Stop,1.2980761,103.8036584
After City Hall Station Exit B (04168),04168,Bus Stop,1.2921058,103.8513328
After Clementi Avenue 1 (17091),17091,Bus Stop,1.3090334,103.7715338
After Clementi Road (16089),16089,Bus Stop,1.2920725,103.7688997
After Clementi Road (17351),17351,Bus Stop,1.2938808,103.765442
After Clementi Swimming Complex (17139),17139,Bus Stop,1.307653,103.76674
After Coldstream Avenue (93101),93101,Bus Stop,1.3125988,103.9198603
After Commonwealth Drive (11041),11041,Bus Stop,1.2962601,103.799469
After Compass Green (97321),97321,Bus Stop,1.3604713,103.9745742
After Corfe Place (66191),66191,Bus Stop,1.3606164,103.8598093
After Coronation Road West (11279),11279,Bus Stop,1.3146686,103.7906843
After Corporation Drive (21771),21771,Bus Stop,1.326577,103.723817
After Corporation Place (21029),21029,Bus Stop,1.3243114,103.7217265
After Corporation Road (21619),21619,Bus Stop,1.33793,103.7181803
After Craig Road (05421),05421,Bus Stop,1.2777825,103.8435473
After Cranwell Road (99029),99029,Bus Stop,1.3862449,103.9793799
After Cranwell Road (99081),99081,Bus Stop,1.3893485,103.978559
After Dairy Farm Cresent (43891),43891,Bus Stop,1.3636634,103.7688948
After Dairy Farm Heights (43961),43961,Bus Stop,1.3648575,103.773397
After Dairy Farm Road (44369),44369,Bus Stop,1.3657455,103.775351
After Dawson Road (10299),10299,Bus Stop,1.2923458,103.8116131
After Dedap Road (67029),67029,Bus Stop,1.3890242,103.8652173
After Defu Avenue 1 (64209),64209,Bus Stop,1.3614775,103.8945455
After Defu Avenue 2 (64219),64219,Bus Stop,1.3615725,103.8967937
After Defu Lane 12 (71191),71191,Bus Stop,1.3413041,103.898219
After Dhoby Ghaut Station (08058),08058,Bus Stop,1.2989815,103.8462941
After Draycott Park (40191),40191,Bus Stop,1.312663,103.8304954
After Duku Road (92179),92179,Bus Stop,1.3080899,103.9034371
After Dunbar Walk (93051),93051,Bus Stop,1.3106837,103.9186615
After Dunkirk Avenue (40099),40099,Bus Stop,1.321807,103.82338
After Dunman Road (82081),82081,Bus Stop,1.310548,103.894162
After Durban Road (58061),58061,Bus Stop,1.4530005,103.8310894
After Duxton Plain Park (05019),05019,Bus Stop,1.2812265,103.8411075
After E.C. Sea Sports Club (94099),94099,Bus Stop,1.3114912,103.9502725
After ECON Medicare Centre (55079),55079,Bus Stop,1.3919611,103.8533586
After East Coast Road (83301),83301,Bus Stop,1.30889,103.908175
After East Sussex Lane (11271),11271,Bus Stop,1.3146661,103.7901115
After Elite Park Avenue (93119),93119,Bus Stop,1.3143382,103.9229567
After En-Naeem Mosque (63139),63139,Bus Stop,1.3611512,103.8914628
After Eng Kong Place (42241),42241,Bus Stop,1.336986,103.7669768
After Engine Test Facility (98069),98069,Bus Stop,1.3756725,103.9767891
After Esplanade Station Exit D (02029),02029,Bus Stop,1.290061,103.8547065
After Fan Yoong Road (22309),22309,Bus Stop,1.333334,103.703367
After Farrer Park Station Exit G (07211),07211,Bus Stop,1.3129706,103.8562258
After Fifth Lok Yang Road (23159),23159,Bus Stop,1.3276113,103.6856641
After Florissa Park (55339),55339,Bus Stop,1.3870112,103.8370393
After Four Leaves (22439),22439,Bus Stop,1.3331242,103.706791
After Fourth Chin Bee Road (21541),21541,Bus Stop,1.3313893,103.7198347
After Fourth Lok Yang Road (23119),23119,Bus Stop,1.3245154,103.6884303
After Frankel Drive (83199),83199,Bus Stop,1.317363,103.916242
