month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,latitude,longitude
2017-01,BEDOK,3 ROOM,151,BEDOK RESERVOIR RD,04 TO 06,63,Simplified,1988,70 years 08 months,281000,151 BEDOK RESERVOIR RD,1.33557619454702,103.911545779692
2017-01,BEDOK,3 ROOM,54,CHAI CHEE ST,04 TO 06,68,New Generation,1981,63 years 04 months,285000,54 CHAI CHEE ST,1.32947840879761,103.921105111921
2017-01,BEDOK,3 ROOM,50,CHAI CHEE ST,04 TO 06,68,New Generation,1981,63 years 06 months,285000,50 CHAI CHEE ST,1.32930431416537,103.922415807329
2017-01,BEDOK,3 ROOM,105,BEDOK RESERVOIR RD,10 TO 12,70,New Generation,1985,67 years 07 months,287000,105 BEDOK RESERVOIR RD,1.32914437941094,103.909112780576
2017-01,BEDOK,3 ROOM,528,BEDOK NTH ST 3,13 TO 15,68,New Generation,1979,61 years 07 months,290000,528 BEDOK NTH ST 3,1.33490287587397,103.927838167286
2017-01,BEDOK,3 ROOM,534,BEDOK NTH ST 3,10 TO 12,60,Improved,1986,68 years 02 months,290000,534 BEDOK NTH ST 3,1.33303698213001,103.924812248346
2017-01,BEDOK,3 ROOM,550,BEDOK NTH AVE 1,04 TO 06,68,New Generation,1980,62 years 06 months,293000,550 BEDOK NTH AVE 1,1.3326931795279,103.926617402908
2017-01,BEDOK,3 ROOM,77,BEDOK NTH RD,10 TO 12,60,Improved,1986,68 years 03 months,300000,77 BEDOK NTH RD,1.32869611162886,103.941995599533
2017-01,BEDOK,3 ROOM,116,BEDOK RESERVOIR RD,10 TO 12,67,New Generation,1986,68 years 02 months,300000,116 BEDOK RESERVOIR RD,1.33103784588692,103.908641634756
2017-01,BEDOK,3 ROOM,18,BEDOK STH RD,13 TO 15,65,Improved,1976,58 years,300000,18 BEDOK STH RD,1.32062504871279,103.934734222428
2017-01,BEDOK,3 ROOM,40,CHAI CHEE AVE,07 TO 09,65,Improved,1974,56 years,300000,40 CHAI CHEE AVE,1.32604335303082,103.926488452026
2017-01,BEDOK,3 ROOM,57,NEW UPP CHANGI RD,13 TO 15,60,Improved,1985,67 years 09 months,300000,57 NEW UPP CHANGI RD,1.32424554153984,103.941568704132
2017-01,BEDOK,3 ROOM,57,NEW UPP CHANGI RD,07 TO 09,60,Improved,1985,67 years 09 months,301888,57 NEW UPP CHANGI RD,1.32424554153984,103.941568704132
2017-01,BEDOK,3 ROOM,105,BEDOK NTH AVE 4,04 TO 06,67,New Generation,1977,59 years 08 months,305000,105 BEDOK NTH AVE 4,1.33368859457924,103.936473903592
2017-01,BEDOK,3 ROOM,709,BEDOK RESERVOIR RD,07 TO 09,68,New Generation,1981,63 years 06 months,310000,709 BEDOK RESERVOIR RD,1.33541606639526,103.922350069667
2017-01,BEDOK,3 ROOM,42,CHAI CHEE ST,01 TO 03,67,New Generation,1985,67 years 05 months,310000,42 CHAI CHEE ST,1.32797877350561,103.925804792632
2017-01,BEDOK,3 ROOM,709,BEDOK RESERVOIR RD,07 TO 09,68,New Generation,1981,63 years 07 months,310000,709 BEDOK RESERVOIR RD,1.33541606639526,103.922350069667
2017-01,BEDOK,3 ROOM,55,CHAI CHEE DR,04 TO 06,75,Model A,1984,66 years 03 months,310000,55 CHAI CHEE DR,1.32684846948333,103.919015573079
2017-01,BEDOK,3 ROOM,75,BEDOK NTH RD,07 TO 09,70,Improved,1978,60 years 01 month,312000,75 BEDOK NTH RD,1.32791477933184,103.942144427101
2017-01,BEDOK,3 ROOM,2,BEDOK STH AVE 1,10 TO 12,65,Improved,1976,58 years,312000,2 BEDOK STH AVE 1,1.32130118793544,103.933299574181
2017-01,BEDOK,3 ROOM,37,CHAI CHEE AVE,04 TO 06,66,Improved,1983,65 years 04 months,312000,37 CHAI CHEE AVE,1.32544200357037,103.926207634232
2017-01,BEDOK,3 ROOM,709,BEDOK RESERVOIR RD,07 TO 09,68,New Generation,1981,63 years 06 months,313000,709 BEDOK RESERVOIR RD,1.33541606639526,103.922350069667
2017-01,BEDOK,3 ROOM,425,BEDOK NTH RD,10 TO 12,67,New Generation,1979,61 years,332000,425 BEDOK NTH RD,1.32936960154503,103.929067536324
2017-01,BEDOK,3 ROOM,117,BEDOK NTH RD,04 TO 06,73,New Generation,1978,60 years 04 months,336000,117 BEDOK NTH RD,1.33065454769523,103.938496275607
2017-01,BEDOK,3 ROOM,423,BEDOK NTH AVE 1,10 TO 12,82,New Generation,1979,61 years,358000,423 BEDOK NTH AVE 1,1.32797614118511,103.927565110763
2017-01,BEDOK,3 ROOM,42,CHAI CHEE ST,01 TO 03,82,New Generation,1985,67 years 05 months,360000,42 CHAI CHEE ST,1.32797877350561,103.925804792632
2017-01,BEDOK,3 ROOM,533,BEDOK NTH ST 3,04 TO 06,82,New Generation,1980,62 years,365000,533 BEDOK NTH ST 3,1.33358016248275,103.92421866691
2017-01,BEDOK,4 ROOM,149,BEDOK RESERVOIR RD,04 TO 06,84,Simplified,1987,69 years 05 months,350000,149 BEDOK RESERVOIR RD,1.33576929801793,103.912779600202
2017-01,BEDOK,4 ROOM,35,BEDOK STH AVE 2,13 TO 15,90,Improved,1977,59 years 11 months,350000,35 BEDOK STH AVE 2,1.32233220742919,103.939766219283
2017-01,BEDOK,4 ROOM,42,BEDOK STH RD,04 TO 06,84,Improved,1977,59 years 08 months,350000,42 BEDOK STH RD,1.32147847826862,103.940721046918
2017-01,BEDOK,4 ROOM,34,BEDOK STH AVE 2,10 TO 12,90,Improved,1977,59 years 08 months,358000,34 BEDOK STH AVE 2,1.32205652925918,103.93835472666
2017-01,BEDOK,4 ROOM,7,BEDOK STH AVE 2,04 TO 06,82,Improved,1976,58 years,358000,7 BEDOK STH AVE 2,1.32281544267372,103.93545524391
