school_name,school_type,lat,long
Fern Green Primary School,School,1.3976307,103.8799375
Fernvale Primary School,School,1.3899831,103.8741691
First Toa Payoh Primary School,School,1.340455,103.8558494
Focus Music,School,1.2803337,103.8414605
Food In Action,School,1.2941588,103.8501653
Former Choa Chu Kang Secondary School Campus,School,1.3834418,103.7513726
Former PSB Academy Campus (Delta),University,1.2872754,103.8264442
Former Teck Whye Primary School Campus,School,1.3814072,103.7555711
Former Teck Whye Secondary School Campus,School,1.3822557,103.7564637
French Toast Pte Ltd,School,1.3528711,103.8354127
Frontier Primary School,School,1.3367797,103.6996516
Fuchun Primary School,School,1.430277,103.7782401
Fuchun Secondary School,School,1.4302769,103.7772903
Fuhua Primary School,School,1.3364912,103.7365407
Fuhua Secondary School,School,1.3473771,103.7269242
Fun With Abacus,School,1.3705239,103.8953197
Gan Eng Seng Primary School,School,1.2857911,103.8154287
Gan Eng Seng School,School,1.289454,103.8236405
General Assembly,School,1.3077267,103.8318682
Genesis School,School,1.2927205,103.7673485
German European School Singapore (Dairy Farm Campus),School,1.3654312,103.7735292
Geylang Methodist School,School,1.3175423,103.883244
Global Indian International School,School,1.390057,103.9117181
Gongshang Primary School,School,1.3574083,103.949277
Grace Orchard School,School,1.306524,103.7648269
Greendale Primary School,School,1.3961931,103.9126886
Greendale Secondary School,School,1.397641,103.9115953
Greenridge Primary School,School,1.3857142,103.7680335
Greenridge Secondary School,School,1.3750262,103.7640299
Greenview Secondary School,School,1.3692622,103.9632302
Greenwood Primary School,School,1.4400699,103.8047763
Guangyang Secondary School,School,1.3449843,103.8499153
Hai Sing Catholic School,School,1.3745712,103.9551281
Haig Girl's School,School,1.3116869,103.9026516
Happy Art Loft,School,1.336727,103.7836366
Happy Fish Swim School,School,1.3788187,103.9549587
Heguru Education Centre,School,1.4062209,103.9018483
Heguru Method Learning Centre,School,1.2649537,103.8204957
Henry Park Primary School,School,1.3169115,103.7840807
HiArt,School,1.2864237,103.8266078
Hiart,School,1.2899202,103.855961
Hillgrove Secondary School,School,1.353379,103.7529902
Hillside World Academy,School,1.3565627,103.8783566
Hollandse School Singapore,School,1.3454742,103.7897999
Holy Innocents' High School,School,1.3716518,103.8957577
Holy Innocents' Primary School,School,1.3667751,103.8936997
Hong Wen School,School,1.3218219,103.8575182
Horizon Primary School,School,1.3999837,103.9130704
Hougang Primary School,School,1.3779983,103.881003
Hougang Secondary School,School,1.3780728,103.8824349
Hua Language Centre,School,1.387266,103.8696897
Hua Yi Secondary School,School,1.3520909,103.7216251
Huamin Primary School,School,1.4270041,103.8442651
Hwa Chong Institution,College/JC,1.3266403,103.8038175
Hwa Chong International School,College/JC,1.3286488,103.8022703
I Can Read,School,1.2650858,103.8204705
INSEAD Asia,University,1.2998008,103.786559
ISS International School,School,1.2809276,103.8055542
ITE College Central,School,1.3775869,103.8563216
ITE College East,College/JC,1.3348611,103.9546849
ITE College West,School,1.37442,103.751761
Idea Minds Employment Development Centre,School,1.3631033,103.8777925
Innova Junior College,College/JC,1.4304469,103.7883624
Innova Primary School,School,1.4292036,103.790745
Institition of Engineers,School,1.3452134,103.790534
Institute for Mathematical Sciences,School,1.292754,103.7794971
Institute of Policy Studies,University,1.3178088,103.8198526
International Community School,School,1.3069118,103.7662888
International French School (Singapore),School,1.369963,103.8674204
Invictus International School,School,1.2466333,103.8421784
J Carter Centre,School,1.352923,103.8361818
JDMIS - Jewellery Design and Management International School,School,1.2989463,103.8531014
James Cook University Singapore,University,1.3153552,103.8760326
Jan & Elly English Language School,School,1.3872695,103.8696218
Jiemin Primary School,School,1.428074,103.8304146
Jing Shan Primary School,School,1.3719344,103.851917
Julia Gabriel Centre,School,1.3062686,103.8285461
Junyuan Primary School,School,1.3476897,103.939421
Junyuan Secondary School,School,1.3531894,103.9335167
Jurong Pioneer Junior College,College/JC,1.3854121,103.7541535
Jurong Primary School,School,1.3487533,103.7330556
Jurong Secondary School,School,1.3304664,103.7239562
Jurong West Primary School,School,1.3393245,103.6989865
Jurong West Secondary School,School,1.3356177,103.7024026
Jurongville Secondary School,School,1.3514652,103.7293282
Juying Primary School,School,1.3387151,103.6880541
Juying Secondary School,School,1.3384905,103.6873096
KLC International Institute,School,1.3907766,103.8540598
Keming Primary School,School,1.3452577,103.7564009
Kent Ridge Education,School,1.2862248,103.828089
Kent Ridge Secondary School,School,1.3011549,103.7651154
Kent Ridge Tutors / Global Art,School,1.2884666,103.8050224
Kheng Cheng School,School,1.3372623,103.8474366
Kong Hwa School,School,1.3111762,103.8878432
Kranji Primary School,School,1.3939992,103.7471333
Kranji Secondary School,School,1.3905627,103.7411972
Kuo Chuan Presbyterian Primary School,School,1.3492968,103.8549157
Kuo Chuan Presybterian Secondary School,School,1.3504664,103.8547114
Kurt Hahn House (UWCSEA Dover Campus),School,1.3025636,103.7756836
LASALLE College of the Arts (Winstedt Campus),College/JC,1.3103352,103.8410448
LTA Rail Academy,School,1.3252259,103.9191042
Lakeside Primary School,School,1.3383879,103.7179609
Lasalle College of the Arts (McNally Campus),College/JC,1.302824,103.8516085
Lee Kong Chian School of Business,College/JC,1.2949457,103.8504782
Lee Kong Chian School of Medicine (Novena Campus),University,1.3212266,103.8489573
Lian Hua Primary School,School,1.354028,103.7540607
Lighthouse School,School,1.3389667,103.8407783
Little Skool-House Delta House,School,1.2909395,103.8249617
