month,town,flat_type,floor_area_sqm,remaining_lease,resale_price,latitude,longitude,storey_type_lower,storey_type_middle,storey_type_upper,rpi_x,adjusted_resale,rpi_y,rpi,mrt_count,school_count,mall_count,bus_stop_count,hawker_count,wet_market_count,nearest_mrt_dist,nearest_bus_stop_dist
0,BEDOK,3 ROOM,67,716,305000,1.33368859457924,103.936473903592,False,True,False,133.9,227781.92681105304,133.9,133.9,0,3,0,10,0,0,550,254
0,BEDOK,3 ROOM,68,762,310000,1.33541606639526,103.922350069667,False,False,True,133.9,231516.0567587752,133.9,133.9,1,2,0,10,1,1,458,214
0,BEDOK,3 ROOM,67,809,310000,1.32797877350561,103.925804792632,True,False,False,133.9,231516.0567587752,133.9,133.9,0,0,1,15,1,1,662,81
0,BEDOK,3 ROOM,68,763,310000,1.33541606639526,103.922350069667,False,False,True,133.9,231516.0567587752,133.9,133.9,1,2,0,10,1,1,458,214
0,BEDOK,3 ROOM,75,795,310000,1.32684846948333,103.919015573079,False,True,False,133.9,231516.0567587752,133.9,133.9,0,1,0,9,0,0,861,48
0,BEDOK,3 ROOM,70,721,312000,1.32791477933184,103.942144427101,False,False,True,133.9,233009.70873786407,133.9,133.9,1,2,0,10,0,0,490,226
0,BEDOK,3 ROOM,65,696,312000,1.32130118793544,103.933299574181,False,False,True,133.9,233009.70873786407,133.9,133.9,1,0,0,9,1,1,452,107
0,BEDOK,3 ROOM,66,784,312000,1.32544200357037,103.926207634232,False,True,False,133.9,233009.70873786407,133.9,133.9,1,0,2,15,1,1,475,231
0,BEDOK,3 ROOM,68,762,313000,1.33541606639526,103.922350069667,False,False,True,133.9,233756.53472740852,133.9,133.9,1,2,0,10,1,1,458,214
0,BEDOK,3 ROOM,67,732,332000,1.32936960154503,103.929067536324,False,False,True,133.9,247946.2285287528,133.9,133.9,0,1,1,21,1,1,611,124
0,BEDOK,3 ROOM,73,724,336000,1.33065454769523,103.938496275607,False,True,False,133.9,250933.53248693055,133.9,133.9,0,1,0,13,0,0,940,92
0,BEDOK,3 ROOM,82,732,358000,1.32797614118511,103.927565110763,False,False,True,133.9,267363.70425690815,133.9,133.9,0,0,2,19,1,1,533,81
0,BEDOK,3 ROOM,82,809,360000,1.32797877350561,103.925804792632,True,False,False,133.9,268857.356235997,133.9,133.9,0,0,1,15,1,1,662,81
0,BEDOK,3 ROOM,82,744,365000,1.33358016248275,103.92421866691,False,True,False,133.9,272591.4861837192,133.9,133.9,0,2,0,10,1,1,667,98
0,BEDOK,4 ROOM,84,833,350000,1.33576929801793,103.912779600202,False,True,False,133.9,261389.09634055267,133.9,133.9,1,0,0,16,0,0,497,80
0,BEDOK,4 ROOM,90,719,350000,1.32233220742919,103.939766219283,False,False,True,133.9,261389.09634055267,133.9,133.9,0,1,0,13,0,0,920,190
0,BEDOK,4 ROOM,84,716,350000,1.32147847826862,103.940721046918,False,True,False,133.9,261389.09634055267,133.9,133.9,0,2,0,13,0,0,899,106
0,BEDOK,4 ROOM,90,716,358000,1.32205652925918,103.93835472666,False,False,True,133.9,267363.70425690815,133.9,133.9,0,1,0,11,0,0,930,166
0,BEDOK,4 ROOM,82,696,358000,1.32281544267372,103.93545524391,False,True,False,133.9,267363.70425690815,133.9,133.9,0,1,0,10,0,0,597,189
0,BEDOK,4 ROOM,82,696,375000,1.32284176978435,103.936046815062,False,False,True,133.9,280059.74607916357,133.9,133.9,0,1,0,12,0,0,661,227
0,BEDOK,4 ROOM,91,725,380000,1.32848132017235,103.940611608837,True,False,False,133.9,283793.87602688576,133.9,133.9,0,1,0,10,0,0,670,64
0,BEDOK,4 ROOM,91,727,382000,1.32726007220341,103.940848770214,False,True,False,133.9,285287.5280059746,133.9,133.9,0,3,0,8,0,0,627,87
0,BEDOK,4 ROOM,84,830,384000,1.33314106418951,103.912523538101,False,False,True,133.9,286781.1799850635,133.9,133.9,0,1,0,12,0,0,509,123
0,BEDOK,4 ROOM,84,831,385000,1.33534088461813,103.91190498709,False,False,True,133.9,287528.00597460795,133.9,133.9,1,1,0,18,0,0,394,79
0,BEDOK,4 ROOM,91,725,390000,1.32891558225172,103.940528728774,True,False,False,133.9,291262.1359223301,133.9,133.9,0,1,0,10,0,0,690,65
0,BEDOK,4 ROOM,84,826,392000,1.33563649761465,103.913269358016,False,False,True,133.9,292755.787901419,133.9,133.9,0,0,0,15,0,0,549,97
0,BEDOK,4 ROOM,84,826,395000,1.33563649761465,103.913269358016,False,False,True,133.9,294996.2658700523,133.9,133.9,0,0,0,15,0,0,549,97
0,BEDOK,4 ROOM,92,724,395000,1.32925881944574,103.939046430321,False,False,True,133.9,294996.2658700523,133.9,133.9,0,1,0,12,0,0,859,67
0,BEDOK,4 ROOM,91,754,410000,1.33663681806047,103.918995255673,True,False,False,133.9,306198.65571321885,133.9,133.9,1,2,0,9,1,1,238,85
0,BEDOK,4 ROOM,93,749,412000,1.33262715051315,103.928172121608,False,True,False,133.9,307692.3076923077,133.9,133.9,0,0,0,16,2,2,649,139
0,BEDOK,4 ROOM,98,772,420000,1.32934898685946,103.911583237057,False,False,True,133.9,313666.91560866317,133.9,133.9,0,2,0,8,0,0,727,199
0,BEDOK,4 ROOM,91,725,425000,1.32891558225172,103.940528728774,False,False,True,133.9,317401.04555638536,133.9,133.9,0,1,0,10,0,0,690,65
0,BEDOK,4 ROOM,92,730,430000,1.33340012199511,103.932519441614,False,False,True,133.9,321135.17550410755,133.9,133.9,1,4,0,16,1,1,354,106
0,BEDOK,4 ROOM,104,793,430000,1.33597277354753,103.924883020541,False,True,False,133.9,321135.17550410755,133.9,133.9,0,2,0,9,2,2,747,247
